"v1" "v2"
13.716 15.833
14.382 13.967
11.042 15.871
13.446 11.871
10.779 15.133
13.462 9.476
12.547 12.727
14.099 16.183
14.332 16.032
11.324 12.977
13.587 12.413
12.633 17.958
16.693 14.173
12.992 15.018
10.844 16.294
14.38 16.425
13.958 14.067
8.797 16.343
12.748 14.305
11.567 15.506
12.687 12.917
14.178 13.392
12.271 15.091
11.362 10.884
11.839 12.741
12.378 12.058
13.382 14.045
16.632 14.965
14.326 11.812
15.426 16.955
13.124 14.326
10.588 13.997
14.997 13.468
14.059 14.03
13.195 12.098
8.789 13.878
